name,artist,,,tags,,year,,,,,,,,,
(I Can't Get No) Satisfaction,The Rolling Stones,,,"rock, classic_rock, british, 60s",,2002,,,,,,,,,
Better Together,Jack Johnson,,,"rock, pop, singer_songwriter, chillout, acoustic, love, mellow, chill",,2006,,,,,,,,,
Crawling,Linkin Park,,,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2000,,,,,,,,,
More Than a Feeling,Boston,,,"rock, classic_rock, hard_rock, 80s, 70s",,1998,,,,,,,,,
My Immortal,Evanescence,,,"rock, alternative, female_vocalists, metal, alternative_rock, piano, love, beautiful, gothic_metal, gothic",,2014,,,,,,,,,
Closer,Kings of Leon,,,"rock, alternative, indie, alternative_rock, indie_rock",,2008,,,,,,,,,
Let Down,Radiohead,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop",,1997,,,,,,,,,
All My Life,Foo Fighters,,,"rock, alternative, alternative_rock, hard_rock, grunge",,2009,,,,,,,,,
Paradise,Coldplay,,,"rock, alternative, pop, alternative_rock, british, beautiful, britpop",,2012,,,,,,,,,
Human,The Killers,,,"rock, electronic, alternative, indie, pop, alternative_rock, indie_rock, dance, 00s",,2009,,,,,,,,,
Yesterday,The Beatles,,,"rock, pop, classic_rock, british, acoustic, 60s, oldies, beautiful",,2013,,,,,,,,,
Maps,Yeah Yeah Yeahs,,,"rock, alternative, indie, female_vocalists, alternative_rock, indie_rock, love, beautiful, 00s",,2004,,,,,,,,,
Reckoner,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, chillout, beautiful, britpop",,2008,,,,,,,,,
What You Know,Two Door Cinema Club,,,"rock, electronic, indie, indie_rock, british, indie_pop",,2010,,,,,,,,,
Smoke on the Water,Deep Purple,,,"rock, classic_rock, hard_rock, heavy_metal, 70s",,1973,,,,,,,,,
Talk,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, 00s, britpop",,2011,,,,,,,,,
Whole Lotta Love,Led Zeppelin,,,"rock, classic_rock, hard_rock, progressive_rock, british, 70s, 60s, blues_rock",,1969,,,,,,,,,
What's My Age Again?,blink-182,,,"rock, alternative, pop, alternative_rock, punk, punk_rock, 90s",,2005,,,,,,,,,
Last Resort,Papa Roach,,,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2000,,,,,,,,,
Hallelujah,Jeff Buckley,,,"rock, alternative, indie, alternative_rock, folk, singer_songwriter, 90s, acoustic, male_vocalists, love, beautiful, cover, mellow",,1994,,,,,,,,,
Bodysnatchers,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, psychedelic, 00s",,2008,,,,,,,,,
Iron Man,Black Sabbath,,,"rock, metal, classic_rock, hard_rock, heavy_metal, 70s",,1976,,,,,,,,,
Riders on the Storm,The Doors,,,"rock, classic_rock, psychedelic, 70s, 60s, psychedelic_rock, blues_rock",,2003,,,,,,,,,
Sweet Disposition,The Temper Trap,,,"rock, alternative, indie, alternative_rock, indie_rock, soundtrack, beautiful",,2012,,,,,,,,,
Baba O'Riley,The Who,,,"rock, classic_rock, british, 70s, 60s",,2014,,,,,,,,,
You Only Live Once,The Strokes,,,"rock, alternative, indie, alternative_rock, indie_rock",,2006,,,,,,,,,
Lisztomania,Phoenix,,,"rock, electronic, alternative, indie, pop, indie_rock, dance, indie_pop, french",,2009,,,,,,,,,
Help!,The Beatles,,,"rock, pop, classic_rock, british, 60s, oldies",,2006,,,,,,,,,
Lucky,Radiohead,,,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop",,2008,,,,,,,,,
Even Flow,Pearl Jam,,,"rock, alternative, alternative_rock, 90s, grunge",,2014,,,,,,,,,
Drain You,Nirvana,,,"rock, alternative, alternative_rock, 90s, grunge",,1991,,,,,,,,,
Bulls on Parade,Rage Against the Machine,,,"rock, alternative, metal, alternative_rock, hard_rock, 90s",,1996,,,,,,,,,
Black Dog,Led Zeppelin,,,"rock, classic_rock, hard_rock, progressive_rock, british, 70s, blues_rock",,1971,,,,,,,,,
Master of Puppets,Metallica,,,"rock, metal, hard_rock, 80s, heavy_metal, thrash_metal",,1986,,,,,,,,,
House of Cards,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, indie_rock, british, love, beautiful, 00s, britpop, mellow, chill",,2007,,,,,,,,,
Good Riddance (Time of Your Life),Green Day,,,"rock, alternative, alternative_rock, punk, punk_rock, 90s, acoustic, american, beautiful, mellow",,2017,,,,,,,,,
Killer Queen,Queen,,,"rock, classic_rock, hard_rock, british, 70s",,1974,,,,,,,,,
Give It Away,Red Hot Chili Peppers,,,"rock, alternative, alternative_rock, 90s, funk",,2014,,,,,,,,,
Idioteque,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, british",,2010,,,,,,,,,
Subterranean Homesick Alien,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, british, 90s, psychedelic, beautiful, britpop, mellow",,1996,,,,,,,,,
Breed,Nirvana,,,"rock, alternative, alternative_rock, 90s, grunge",,1991,,,,,,,,,
Plug In Baby,Muse,,,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",,2001,,,,,,,,,
Here Comes the Sun,The Beatles,,,"rock, pop, classic_rock, british, 60s, oldies, beautiful",,2014,,,,,,,,,
Nude,Radiohead,,,"rock, electronic, alternative, indie, alternative_rock, ambient, experimental, indie_rock, british, chillout, beautiful, 00s, mellow, chill",,2007,,,,,,,,,
You're Beautiful,James Blunt,,,"rock, alternative, indie, pop, singer_songwriter, british, acoustic, male_vocalists, love, beautiful, britpop, mellow",,2005,,,,,,,,,
Rebellion (Lies),Arcade Fire,,,"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s",,2004,,,,,,,,,
Helicopter,Bloc Party,,,"rock, alternative, indie, alternative_rock, indie_rock, british, post_punk, britpop",,2005,,,,,,,,,
London Calling,The Clash,,,"rock, classic_rock, punk, 80s, british, punk_rock, 70s",,1965,,,,,,,,,
Bad Moon Rising,Creedence Clearwater Revival,,,"rock, classic_rock, 60s, oldies",,2010,,,,,,,,,
One,Metallica,,,"rock, metal, hard_rock, 80s, heavy_metal, thrash_metal",,2009,,,,,,,,,
Shiver,Coldplay,,,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, beautiful, britpop, mellow",,2000,,,,,,,,,
You Shook Me All Night Long,AC/DC,,,"rock, metal, classic_rock, hard_rock, 80s, heavy_metal",,1992,,,,,,,,,
Hey Jude,The Beatles,,,"rock, pop, classic_rock, british, 60s, oldies",,2006,,,,,,,,,
Wake Up,Arcade Fire,,,"rock, alternative, indie, alternative_rock, indie_rock, beautiful, 00s",,2004,,,,,,,,,
We Are the Champions,Queen,,,"rock, classic_rock, hard_rock, 80s, british, 70s",,2008,,,,,,,,,
Say It Ain't So,Weezer,,,"rock, alternative, indie, alternative_rock, indie_rock, 90s, mellow",,1994,,,,,,,,,
The Kill,30 Seconds to Mars,,,"rock, alternative, alternative_rock, progressive_rock, emo",,2005,,,,,,,,,
Dirty Harry,Gorillaz,,,"rock, electronic, alternative, indie, pop, alternative_rock, dance, british, hip_hop, funk, trip_hop, 00s",,2005,,,,,,,,,
Seaside,The Kooks,,,"rock, alternative, indie, indie_rock, british, acoustic, britpop",,2006,,,,,,,,,
The Funeral,Band of Horses,,,"rock, alternative, indie, indie_rock, beautiful, mellow",,2007,,,,,,,,,
All You Need Is Love,The Beatles,,,"rock, pop, classic_rock, british, psychedelic, 60s, oldies, love",,2006,,,,,,,,,
A Certain Romance,Arctic Monkeys,,,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",,2006,,,,,,,,,
Times Like These,Foo Fighters,,,"rock, alternative, alternative_rock, hard_rock, grunge",,2006,,,,,,,,,
Imagine,John Lennon,,,"rock, pop, classic_rock, singer_songwriter, british, piano, 70s, oldies, beautiful",,2000,,,,,,,,,
"Tonight, Tonight",The Smashing Pumpkins,,,"rock, alternative, indie, alternative_rock, indie_rock, 90s, beautiful, grunge",,1995,,,,,,,,,
Lullaby,The Cure,,,"rock, alternative, indie, alternative_rock, 80s, british, new_wave, post_punk, gothic",,2001,,,,,,,,,
Roxanne,The Police,,,"rock, pop, classic_rock, 80s, british, new_wave, reggae, 70s",,2013,,,,,,,,,
Eleanor Rigby,The Beatles,,,"rock, pop, classic_rock, british, psychedelic, 60s, oldies",,2011,,,,,,,,,
Jeremy,Pearl Jam,,,"rock, alternative, alternative_rock, 90s, grunge",,1991,,,,,,,,,
Torn,Natalie Imbruglia,,,"rock, pop, female_vocalists, 90s",,2016,,,,,,,,,
